# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
127.3	151.7591649				
127.4	145.0129019				
127.5	135.7879385				
127.6	126.6079136				
127.7	115.0811131				
127.8	104.5168436				
127.9	97.3512467				
128	93.14267166				
128.1	91.43575649				
128	92.67078856				
128	98.55919462				
128.4	110.7945326				
128.5	126.0428632				
128.6	143.2497836				
129	157.5427793				
129	163.568216				
128.9	162.1668437				
129	155.1730801				
129.1	142.305044				
129	135.8758501				
129	136.5925047				
129.4	161.3773091				
129.5	165.73224				
129.6	160.0163149				
130	138.9653269				
130	138.3935704				
129.9	148.3073587				
130	159.0104778				
130.1	163.9794926				
130	161.2981041				
130	68.44455411				
130.4	66.01450985				
130.5	105.2089595				
130.6	148.7928676				
131	156.9585234				
131	158.2780124				
130.9	156.7984726				
131	150.400319				
131.1	134.0796978				
131	107.3351427				
131	85.25108414				
131.4	75.00938465				
131.5	72.77778116				
131.6	74.46481191				
132	80.93169119				
132	93.25068039				
131.9	112.2196013				
132	127.1181066				
132.1	132.7226573				
132	132.9330282				
132	123.493365				
132.4	93.49714304				
132.5	93.7143612				
132.6	98.50787681				
133	106.6194448				
133	117.1498583				
132.9	120.8359182				
133	105.9113429				
133.1	98.36658774				
133	98.56222123				
133	103.0970469				
133.4	110.1623947				
133.5	112.0065104				
133.6	111.4176105				
134	96.82629685				
134	76.81022166				
133.9	75.85481025				
134	77.03830421				
134.1	80.18683137				
134	84.68503959				
134.3	89.8984966				
134.4	92.58049035				
134.5	94.41397342				
134.6	95.52048735				
134.7	95.76944816				
134.8	95.42250374				
134.9	93.77103221				
135	90.81703651				
135.1	86.44207553				
135.2	79.2755906				
135.3	71.21963553				
135.4	60.51356618				
135.5	50.33531131				
135.6	43.36153075				
135.7	38.95039767				
135.8	37.63430397				
135.9	38.53014613				
136	41.35948366				
136.1	45.68718035				
136.2	51.40577345				
136.3	57.37907457				
136.4	63.03090785				
136.5	68.22352703				
136.6	71.3211109				
136.7	73.67526471				
136.8	74.90733147				
136.9	75.28467518				
137	74.75131983				
137.1	71.79582539				
137.2	65.92253448				
137.3	56.12284084				
137.4	45.41307951				
137.5	39.93432368				
